rpm,real_w,speed,target_current,real_pos,pos,I6,I7
-0.195198,0.085822,9.835158,0.005468,0.008307,-0.002114,0.000000,0.000000
-0.194998,0.086207,9.835483,0.004403,0.013633,0.000016,0.000000,0.000000
-0.194792,0.086638,9.835927,0.008664,-0.002346,-0.001049,0.000000,0.000000
-0.194602,0.086987,9.836266,0.000142,0.000850,0.002147,0.000000,0.000000
-0.194381,0.087361,9.836567,0.011860,-0.001280,-0.007441,0.000000,0.000000
-0.194078,0.087623,9.836900,0.013991,0.024286,0.007473,0.000000,0.000000
-0.193724,0.087751,9.837253,0.007599,0.011503,-0.009571,0.000000,0.000000
-0.193386,0.087959,9.837473,0.004403,0.001916,0.000016,0.000000,0.000000
-0.193055,0.088135,9.837512,0.008664,-0.017259,0.000016,0.000000,0.000000
-0.192782,0.088265,9.837573,0.008664,0.008307,0.021321,0.000000,0.000000
-0.192593,0.088286,9.837768,-0.007315,-0.004476,-0.009571,0.000000,0.000000
-0.192373,0.088216,9.837852,-0.011576,-0.007672,0.015995,0.000000,0.000000
-0.192301,0.088092,9.837983,0.003338,0.014699,-0.006375,0.000000,0.000000
-0.192221,0.088001,9.838125,0.017186,0.005111,-0.008506,0.000000,0.000000
-0.192238,0.087921,9.838297,0.000142,-0.002346,-0.017028,0.000000,0.000000
-0.192186,0.087825,9.838517,0.001207,0.010438,0.011734,0.000000,0.000000
-0.192180,0.087731,9.838628,0.007599,-0.004476,-0.003180,0.000000,0.000000
-0.192139,0.087582,9.838833,0.010795,0.017894,0.010669,0.000000,0.000000
-0.192081,0.087456,9.839004,-0.003054,-0.001280,-0.002114,0.000000,0.000000
-0.191930,0.087357,9.839063,0.010795,-0.017259,0.018126,0.000000,0.000000
-0.191835,0.087282,9.839169,-0.003054,0.014699,-0.024485,0.000000,0.000000
-0.191856,0.087143,9.839368,0.012925,0.013633,-0.002114,0.000000,0.000000
-0.191910,0.087187,9.839448,0.005468,0.018960,-0.002114,0.000000,0.000000
-0.191943,0.087326,9.839659,0.000142,-0.011933,0.003212,0.000000,0.000000
-0.191874,0.087469,9.839880,0.012925,-0.008737,0.003212,0.000000,0.000000
-0.191777,0.087703,9.840002,0.005468,0.010438,0.018126,0.000000,0.000000
-0.191749,0.087918,9.839996,-0.013706,0.012568,0.007473,0.000000,0.000000
-0.191644,0.088073,9.840047,0.013991,0.022156,0.019191,0.000000,0.000000
-0.191573,0.088183,9.840033,0.003338,0.007242,0.018126,0.000000,0.000000
-0.191532,0.088318,9.840051,-0.009445,0.015764,0.023452,0.000000,0.000000
-0.191491,0.088485,9.840181,0.003338,0.006177,0.000016,0.000000,0.000000
-0.191505,0.088535,9.840438,0.009729,0.000850,0.004277,0.000000,0.000000
-0.191585,0.088589,9.840661,-0.014772,-0.006607,0.005343,0.000000,0.000000
-0.191711,0.088645,9.840937,0.013991,0.018960,-0.011702,0.000000,0.000000
-0.191888,0.088734,9.841310,0.005468,-0.000215,0.010669,0.000000,0.000000
-0.192153,0.088856,9.841569,0.002273,0.002981,-0.015963,0.000000,0.000000
-0.192438,0.089015,9.841746,0.008664,0.031743,0.000016,0.000000,0.000000
-0.192790,0.089201,9.841846,-0.001988,-0.003411,-0.001049,0.000000,0.000000
-0.193216,0.089410,9.841899,0.002273,0.011503,-0.007441,0.000000,0.000000
-0.193673,0.089550,9.842038,-0.001988,-0.003411,0.000016,0.000000,0.000000
-0.194141,0.089590,9.842220,-0.012641,-0.001280,-0.013832,0.000000,0.000000
-0.194593,0.089614,9.842324,0.000142,-0.003411,-0.008506,0.000000,0.000000
-0.194987,0.089687,9.842339,0.007599,0.010438,-0.004245,0.000000,0.000000
-0.195365,0.089706,9.842340,0.006534,0.011503,-0.018093,0.000000,0.000000
-0.195796,0.089744,9.842319,0.006534,0.012568,0.006408,0.000000,0.000000
-0.196356,0.089783,9.842277,0.006534,0.002981,0.015995,0.000000,0.000000
-0.196827,0.089753,9.842159,0.005468,0.011503,0.020256,0.000000,0.000000
-0.197287,0.089787,9.842013,0.017186,-0.002346,0.019191,0.000000,0.000000
-0.197787,0.089928,9.841892,0.000142,-0.000215,0.004277,0.000000,0.000000
-0.198424,0.090092,9.841747,-0.019033,0.000850,-0.009571,0.000000,0.000000
-0.199040,0.090281,9.841600,0.015056,0.013633,-0.003180,0.000000,0.000000
-0.199555,0.090649,9.841420,0.000142,0.006177,0.006408,0.000000,0.000000
-0.200043,0.090914,9.841382,-0.011576,0.007242,-0.004245,0.000000,0.000000
-0.200542,0.091246,9.841309,-0.008380,0.025351,-0.001049,0.000000,0.000000
-0.201032,0.091548,9.841203,0.000142,0.001916,-0.011702,0.000000,0.000000
-0.201494,0.091620,9.841146,0.005468,0.012568,0.004277,0.000000,0.000000
-0.201893,0.091758,9.841031,0.004403,0.008307,-0.001049,0.000000,0.000000
-0.202267,0.091911,9.840981,0.017186,0.012568,-0.009571,0.000000,0.000000
-0.202705,0.092078,9.840990,0.019317,-0.003411,0.003212,0.000000,0.000000
-0.203117,0.092102,9.841043,0.010795,0.017894,-0.017028,0.000000,0.000000
-0.203367,0.092065,9.841134,0.004403,0.000850,-0.008506,0.000000,0.000000
-0.203497,0.091992,9.841052,-0.006249,0.002981,-0.007441,0.000000,0.000000
-0.203697,0.091809,9.840958,0.005468,0.001916,0.002147,0.000000,0.000000
-0.203881,0.091768,9.840807,0.006534,-0.000215,0.001081,0.000000,0.000000
-0.203945,0.091746,9.840600,0.013991,-0.001280,-0.007441,0.000000,0.000000
-0.203985,0.091784,9.840245,0.010795,0.010438,0.019191,0.000000,0.000000
-0.203857,0.091956,9.839899,0.013991,0.014699,-0.008506,0.000000,0.000000
